problem,algo,time,wfomc
z4_1,inc2,0.018319733906537294,"0"
z4_2,inc2,0.018121831119060516,"0"
z4_3,inc2,0.01803651638329029,"24"
z6_1,inc2,0.01842015702277422,"60480"
z6_2,inc2,0.01761195668950677,"90720"
z6_3,inc2,0.01801665499806404,"60480"
z8_1,inc2,0.018310791347175837,"5079110400"
z8_2,inc2,0.017651881091296673,"1562803200"
z8_3,inc2,0.018273642752319574,"195350400"
z10_1,inc2,0.018031911924481392,"666172912204800"
z10_2,inc2,0.018221331760287285,"85406783616000"
z10_3,inc2,0.017862815409898758,"1178024601600"
z12_1,inc2,0.018545006401836872,"164300848531852032000"
z12_2,inc2,0.018033522181212902,"2547299977238016000"
z12_3,inc2,0.01776660420000553,"12371253358464000"
z14_1,inc2,0.01861542882397771,"73228328006215085383680000"
z14_2,inc2,0.018165605142712593,"582498063685801815552000"
z14_3,inc2,0.018569184932857752,"209647081744708608000"
z16_1,inc2,0.0188043350353837,"55525501576872353300291297280000"
z16_2,inc2,0.01889912039041519,"36167074793598666862264320000"
z16_3,inc2,0.018739090766757727,"5389198552309883351040000"
z18_1,inc2,0.01843142881989479,"67771166100018845192173418029056000000"
z18_2,inc2,0.018219355959445238,"55525501576872353300291297280000"
z18_3,inc2,0.018661899957805872,"4666719328206279595130880000"
z20_1,inc2,0.01929387217387557,"127024818752469171213202812951231987056640000"
z20_2,inc2,0.019426988903433084,"2819351370752040910632433694681333760000"
z20_3,inc2,0.01927290018647909,"10320181568780679113253630935040000"
z100_1,inc2,0.8821862093172967,"134233903606695194029091555805264648047886321246121551652982031761544708627819320256147056168104659621228786174116697516573618559752359667770766381998077572143526306853021769009679585777276312976021954466403985776164153101284267577060490711698322243379319347905011844637215024450246274316484734739966748921188530194055986378506835059221268004864000000000000000000000000"
z100_2,inc2,0.8806604263372719,"5704952806645313480258965346456682984286986969007527577333402247976649824358783690055133175427983789019957134777711811786054696845432730372557075217861410720333555634469696594929989460332193508806583426232147148095818000831840417123134008911643637010008246054142819914409464149829838229025320039612416000000000000000000000000"
z100_3,inc2,0.8790271272882819,"46126200040992588403794195696482300451949184610221908256504609013017676929242276571480544595900896376318587102484934442172725749548004310404927986883255863880732837982733615954414086474741017869405953741965320684960112114994072238427412041674543746514944000000000000000000000000"
