problem,algo,time,wfomc
cards1,inc3,0.02460984094068408,"1"
cards2,inc3,0.019189925980754197,"0"
cards3,inc3,0.018379895947873592,"0"
cards4,inc3,0.01916067604906857,"48"
cards5,inc3,0.019413660978898406,"1680"
cards6,inc3,0.018858787952922285,"64800"
cards7,inc3,0.019816206069663167,"3255840"
cards8,inc3,0.0200995389604941,"211357440"
cards9,inc3,0.02005910803563893,"17281071360"
cards10,inc3,0.021103085950016975,"1739305612800"
cards11,inc3,0.021126376930624247,"211430907072000"
cards12,inc3,0.022786943009123206,"30550259332454400"
cards13,inc3,0.024390644975937903,"5176420006364006400"
cards14,inc3,0.024473477969877422,"1016630184903414681600"
cards15,inc3,0.026596533018164337,"229108713397857925632000"
cards16,inc3,0.028228971059434116,"58727719798766009671680000"
cards17,inc3,0.03053421201184392,"16990283973456956608782336000"
cards18,inc3,0.03246716200374067,"5509683811208863517213638656000"
cards19,inc3,0.03524318791460246,"1990459137500230990065269981184000"
cards20,inc3,0.039090065052732825,"796679487953141114318889626173440000"
cards50,inc3,0.38813266798388213,"125083833878601304318458839130307846850981906769170037797810192274327541959748386558034838865943473262344074472456192000000000000"
cards100,inc3,3.081315767019987,"1178501130832444042782289151223994853608238148928943803578024712471793524574294294937896846350460135834212394304658388677168255300403722962458194483028258477129197453333541601401014456986437418327939680811532118295575823145260766856107181393164394530028715360887116491488262625225405706010624000000000000000000000000"
cards150,inc3,10.854172735009342,"441731955845998496659676330684139209829802525183302695767577436125807493143467416619431946300618898959971479589766712681669358764107421050671750103064946877824680409910384852429546654955645330083528538990881484096267744526051145468563160385082241569073047810798521808932129603459227280217659996622580558224629878683916304889721907918288642860084289950166091446475548963194697190534577554331604247120781525387413388203096142672714388846606041509653941152676570653369882584327294468562616320000000000000000000000000000000000000"
cards200,inc3,25.906144883017987,"84171761975589397654296926753207794868440303773377368833264062122570298640973890589865746949411769833986248364548095666717153974107744240519360484016021101753107903957318053830498209103925070682222086038437808584693604819823132429821111595248391245567991219038162533412121944329597598470966622433861323651093527381527495070123917903687467547819977999583105031985155503381969370171316806323423250542471321448172328756799093594193658324179598102158385813807662763403288646395637983310014689458681691475096161722800912332594645419837808762374478820482169682280458473900516651025289555552675094734962450312175781124443966363055311356207517515038804275094975931552020268504509123418782306936894262890987520000000000000000000000000000000000000000000000000"
cards250,inc3,51.43598980596289,"1414392146233322356928125505582635046884792682297197701289140460240450409105158386366497690145437008244987300439996502440084134064309893501663867409396325098979263142382597314133064752542220075732739668672895595156689602549660817536864428268386286940455816179417749240594791373327486231078366992064361004660334308146631124867394875354197191806364888128328033915967589882520025597222221582487293228139600365562088978662163955146443420608280064417621840265468654727021368508327290816121373279644083531738076683800573799825867494927143091458899367224903641335401548971205487648763160334729483426901579628124166158082749734981384779523782917267748988993588212341500027409995059939553374882158338643075822860448909807630362100179176208231779501895060341135754683081787587869381606233258719639797937969015746754561730834187710480147792566279531536156834314488503408713538178795430992095876719774755304124879128750406916910140620800000000000000000000000000000000000000000000000000000000000000"
cards300,inc3,89.14548707194626,"12676735203201946745875915256432971150768424668447074806290793008868879199533337694366870277234457597858480003948724248650408037240254541431238698492011878400995175148447597399422242711753526707065489629122365910519676209131768476116400868351036438938407308398329845234368614235328866149871938946022894650814395718796789448768850509508725906609930220118875147413545916098448757905839791529024321405447890926266041698748000306385687043336898260994334035513214312535039862298327495546036196126518160600319716201725398874119390847375384471552048411638408404722936604236083951189906099783779602656176065142762291409075058569531661284118139191889876709661467113545588029992666494877639644684810787131650926061427576261514324198741404031970869451828287381243189502872647522539806256565827152690044119038548693923430881942460105577492406534234878190369972623229376014373094388184131668113796342546307040467185674571971659334510721519040384509164001065105159327222133044768126059412650612535267107622089213221715963589151997226184890057920333087987784955994362640728521172429508923984450131935419727177639074301539148573119938872827697118188396972279554819856793600000000000000000000000000000000000000000000000000000000000000000000000000"
cards350,inc3,142.96925673098303,"2067056483521601383425443473299066815910115628366354264431736891953387478830403957771686908106379173072385534912131869951158234344445855587430459049504182893280168316654814498658171615981450165834807733007764419369364437877199853644441385447481711167023602537253061110938483504420335966700020691926125454370514422999010083977553995746662484146790730492002245387678275058796765729773161770979349915933812518824175527685471467739046507663889496050528295487551766011827143723557978894893899997824938003383076044237344004776593928618915463591327145946497754488095808634914827412066604513425147955635490754181509045073255102622565697926592167991515256184017152183443890041229573712938925767644096840643309909318079982653776727495991861833402707881998719991078904698038468306255674249871500057074790840675620686003207870895906625214336492406327411753641103823544912438204119734404215718343802573425192322528470187200422282824198937281120109334582480107897513509837502165098549853845463962381096002787693455944040439590869258220835956011574806105733847519413219271910443846672204239396799581833071995212895810694146430447415409280008883159982472199885280013943425908229254681367604644228126383528138570726056579524707158396226225378320514957576283464372745785602486649799276784178985051642029027060069013622717391061608546680871145049529243572002290852583210968468415550926335495453538143537265324851200000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
cards400,inc3,213.07921071595047,"554924552137051602586880786319317840815265216084420770369107220024211690865665754602103173808555126206549051446076392503679513970421553844289176268590174176937054822287649789272271001875981085806721494109008410874692291505210067737379190019239637536868436676910514983362541524321431975283753494664383374328309548613720913357700208586915476309699091813070170719888248724381018029733236631958847180746271949391722874284505754284629039346511764911988063870034473436565995800196330791286838400008638594958167895437726884457739827327243431437662235997662427481425125181206201500972679458642270812764800123952844474762400047736965233416247594943651558148244179039016924077975629446991275866538395507075080306180207938142891723912479470968602838174516723756678857498674075462582034294979576805011816429372343590695951948662162651619173010612824582092398144176291025378203703907922732605369808926541332225576378995433720876705509319707241195757924702112253517530892689682211474225702058048713246632105606912338204471165537253342036307070335692198672749192805447092071273298969349184170999154483987928758925072785252232767019829057073623619966908200113859106761090935613497524216565056614480578068375210564990353721334777936777243632228279357760428704541894192889346318740688867214871616109158481030053062737487839890838890053715114995972782356940622145602629858115206806408869565368527393101359145621816632134315595713086343369499606245519523017546798669608250353456762275650854426896252658206910691977865432024230517644068324842230999920574440738545872369931792142799241631985267203881306664708298725214791780839941115986817439672075120518627328000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
cards450,inc3,310.58040460408665,"40661991729662802301040214181589082213692080959987565648445820807497944776855347698282486122693178828382093891292493287902540808797837954663989426370251700401675960589349476530544235796375822515924443701204860419779332845016605763631775292777812295027007599156993487690610525148132368249500379696434503129344148490969781927659110000016045508252428835360860574911158962841468964379293803076229186489010503332124187903028326369747306270309132243578640675591708419726156657703538090755461683169562580456028361700627329824533982868673659661018164492021309970830996132498536836230016704869485526258039704462549515006062780333689167888933479674245774439666281303935059161335267542490713835596970380367916135926431182262954529771865261457923772009090043200654093808524900405505730891516152774315935115462316917135162279014630560554606221950432280592692448112904657342528604559203619967039273793972892601051600849381207728364822025201980770037785453883678849026399767585161821165352834965235351851974126052850041012551199953168189190860217432393668548972504803160608457080683933367668353339208699485972315853462295469775813078092981164660011378004763007980290577978957833620209786498571816353500998673087000760500640249137529921871108835964858080750126992410061129567414643874711549268999593269791189945400015444439677914968049794002816159393239387175747992166610718323850059958403790744527108314300585746167487108759480108899833087740886233241601958062786566244513022611372386369861388797847220401806412539763053328952669109226806232420799725820448758966962767202163751155937728748334366289534884930649025090444664075914350665528768021660977166882175819355642211544637228394365726243368172952371873158663167143680666827943065473007762916808512486832255307433798565967265958418161713933484160467246867060463568782828770840866610916276467385492179824402852517266819036071537577487150757164831735808000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
cards500,inc3,421.7617668360472,"201476603302705714219489127991099107126829824492521525641903230975019354297270257993893673315789855146359377218094785759784557568326175127199495752730382108004134973624834875368604997834940902924047455700721764810169905179810149165485383615742762010773337920683360328805376865810878920733181839834901235416463202352683992097162318059765905125840918623481291105944530091440502793562168888304882205408981553648690823152981434690415891925781699612774077662027787989399762027528208964420679246143134461123383588432298811368442120180033587879556676335169571855931470173644585479935330915981357592488349760854699824450707908538947634869177861501294459123278595092262391826405343414453613863158620375317201503815378400089363649530586912075345521265135756433280836678347047648050389771841712242823203609093069470907273434989759037146956480320773000550457356141299570114440110843045573648426552616472862122229924731479820845976832338908956825613540006610227705432581938217025781354191190759530777868344423486628788917975445189547401868262855482230609616774081813134350888334826456391594354531465869500382763684332502617281978130558281491018042071468842459814070833591251497219408777337765122934751628470034060771365647286168526654491513782486771408566290211867768917515567744793078717497655314715215801136426380839088373698446623275226132426280946182449276528919716224776293432101641387317706147336570570623188434246288825690947904154533242693729153190095794286074266180033449721480123239341277863644385225445347322934740442386327408575657580357753875096387984320651834242995420947469734154680526604116079900331808450745484396099072779758638506477584035834532790436109019825040213778423095454141146200941224371124250616005905969359801451614473640566556285987927429519994418966677747298574825538806969051909534591680320104515036323426285546242332847395518382436021597941095210385238952615818682358802135397691827313795013087765185628855570140731814926874986734469574084460704985526312816658689701545780758591931542373316812870447079325330055293211302267475676776573845312048650571463887139248658109482291796809407582631430189308720251024985008889911050240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
