problem,algo,time,wfomc
a1,inc3,0.01912618603091687,"1"
a2,inc3,0.018179952981881797,"6"
a3,inc3,0.019776029977947474,"78"
a4,inc3,0.018408798961900175,"1800"
a5,inc3,0.019872169010341167,"64920"
a6,inc3,0.01984264305792749,"3371760"
a7,inc3,0.01980279793497175,"238356720"
a8,inc3,0.019657270051538944,"22008067200"
a9,inc3,0.020007344079203904,"2571825271680"
a10,inc3,0.019803054980002344,"371035956614400"
a11,inc3,0.02004678500816226,"64770299889926400"
a12,inc3,0.01875669800210744,"13455905824513152000"
a13,inc3,0.01870838296599686,"3280757894022133324800"
a14,inc3,0.02036607195623219,"927694096236352847001600"
a15,inc3,0.020289384992793202,"301135426222987223771904000"
a16,inc3,0.019283792935311794,"111218326028259350198538240000"
a17,inc3,0.020345291937701404,"46371242823496143323949674496000"
a18,inc3,0.0203502899967134,"21675458107866325392078415110144000"
a19,inc3,0.020369046018458903,"11288858407558695052050571280326656000"
a20,inc3,0.02050011104438454,"6514552016753043958810571380558233600000"
a50,inc3,0.02479812502861023,"60676599829239617596845122925572978190188064300894342804279888652489608462236872301423889263133437972237083781928659353337856000000000000"
a100,inc3,0.039468868053518236,"51952415925198229846965094326756653244513827134822135845993627859420848542935409883293288979339664251455269536533881561503295295249611026873588005643951264141059439689068281896066367670955957820221310818673491167240133839258630992423098743304480395929435353300934188463753141001341870567664367441493004124160000000000000000000000000"
a150,inc3,0.0646416520467028,"1770566359261033637822913886372896450715917352246117950690548453359083321904197909045910094916327128438208741059138868053097173532171720767953020271496043345356022938807578577919770553997557017125746476347287026160508683917054146158123993870369859581559970998798344090569482907522473682290939076391245250056653885302600909442777524114595608067196455524740714191568569378496645169883386028310897052146037753855559918398329145749298078854990742846146603570635353049077575831526755728269996954697871162536133142773760000000000000000000000000000000000000"
a200,inc3,0.09902160300407559,"30678181629145225242583785388188942524414283818564502893177460545522389321583290023354242440356449884332917900538766181453072211086933307833425032779677974466434141660047573013539392530842155970240630533446550316593239925449151550413048556505558515345315431355153624019469571665658710694611958155571088489207146387857533692254919194986103757838279747323111235841848778700565049298870279555483546817825946967299790479162472651781374712817026759931343279751928205517026965549752802027236600375936264959869466918459138782209241333545306120724644673307385877114403091701628822565954114668611618965209247192955995171263108335644758618986329536567513509007791303531476890098419218821401238251832294061560412764822646732817122218388278476800000000000000000000000000000000000000000000000000"
a250,inc3,0.1499163709813729,"46876164855617569809292906216118119924350670871780954308586743351211510063693047861157456653265429040630963912621212627069512375256242143160901553720812172181051584074316630177146523856322622926023134241151200318865638433221045190738965676847382147535216002671468987016712118234601360696344559468729849989465147897178819966795444965867010130888197601591458837249826863286467084233126212287522305191450249263975919867677847475817899776150818535027694234691427105800552261993108260093368317469721634550206933204811211402561855644942135656917418852977506578426965232407700040685002943599272338324345435066858997864387478925932469664750227777149177149035621472150511560084929271441518120920047134650403340551065331199717787372331949025983928281643578335669135670641389148315478090456449426563126895374465851821235567181808557586459037481493268669696737276475939366289598456790789156784325759304808112309613505629266315345543938658100595426063564014420577857814554214400000000000000000000000000000000000000000000000000000000000000"
