problem,algo,time,wfomc
7,inc2,0.16326473793014884,"1440"
8,inc2,0.8646328928880394,"144000"
23,inc2,0.05075512919574976,"10080"
29,inc2,0.08470390597358346,"720"
31,inc2,0.055693915113806725,"12"
33,inc2,0.09395241597667336,"7680"
39,inc2,0.05431476328521967,"5760"
42,inc2,0.05450974591076374,"17280"
45,inc2,0.05226909928023815,"2880"
47,inc2,0.038785609882324934,"1008"
53,inc2,2.5461088940501213,"316800"
80,inc2,0.05626132106408477,"24"
82,inc2,0.055706365033984184,"288"
96,inc2,0.05645793303847313,"480"
99,inc2,0.04246352706104517,"360"
102,inc2,0.6023001167923212,"432"
130,inc2,2.8898730762302876,"34560"
137,inc2,0.0548279439099133,"28800"
149,inc2,0.04736462328583002,"28800"
175,inc2,0.05442476598545909,"3600"
193,inc2,0.041300679091364145,"2880"
231,inc2,0.051870986353605986,"36000"
240,inc2,3.489341812208295,"5184"
243,inc2,0.03617436811327934,"4896"
269,inc2,0.09060351690277457,"1920"
284,inc2,0.040663310792297125,"11520"
292,inc2,0.05141053022816777,"720"
309,inc2,0.055361226201057434,"60"
7,inc,439.8005644697696,"1440"
23,inc,1.3156069866381586,"10080"
29,inc,2.1090732403099537,"720"
31,inc,0.0979702896438539,"12"
42,inc,25.505845775827765,"17280"
45,inc,10.796126652974635,"2880"
7,rec,6.715461201965809,"1440"
23,rec,1.3661669814027846,"10080"
29,rec,1.4489163383841515,"720"
31,rec,0.10707544162869453,"12"
39,rec,242.0074153151363,"5760"
42,rec,3.282049166969955,"17280"
45,rec,1.3852190771140158,"2880"
47,rec,20.721687932033092,"1008"
80,inc,0.2165721980854869,"24"
80,rec,0.38239507796242833,"24"
82,rec,115.29521201411262,"288"
96,rec,0.37624213099479675,"480"
99,rec,0.04353490378707647,"360"
102,rec,44.08868591487408,"432"
149,rec,655.9083479535766,"28800"
175,rec,0.9362556450068951,"3600"
193,rec,0.6137109729461372,"2880"
231,rec,1.3619936387985945,"36000"
243,rec,0.44364377623423934,"4896"
96,inc,0.18220951687544584,"480"
99,inc,0.04247650457546115,"360"
284,rec,54.689541168976575,"11520"
292,rec,0.6213879762217402,"720"
309,rec,27.387438425794244,"60"
7,ganak,0.08323228172957897,"1440"
8,ganak,6.142624252941459,"144000"
23,ganak,0.1818271786905825,"10080"
29,ganak,0.029392479918897152,"720"
31,ganak,0.013519855681806803,"12"
33,ganak,0.47091072518378496,"7680"
39,ganak,0.4647823851555586,"5760"
42,ganak,0.06706619216129184,"17280"
45,ganak,0.04702267609536648,"2880"
47,ganak,0.05333702592179179,"1008"
53,ganak,9.7769466759637,"316800"
80,ganak,0.027325365226715803,"24"
82,ganak,0.029601250775158405,"288"
96,ganak,0.01690762210637331,"480"
99,ganak,0.007492298725992441,"360"
102,ganak,0.052836949005723,"432"
130,ganak,0.2036112048663199,"34560"
137,ganak,0.32925511803478,"28800"
149,ganak,3.3753452599048615,"28800"
175,ganak,0.1962026860564947,"3600"
193,ganak,0.8080015876330435,"2880"
231,ganak,0.5070009222254157,"36000"
240,ganak,1.2313065882772207,"5184"
243,ganak,0.7757120602764189,"4896"
269,ganak,0.07308913907036185,"1920"
284,ganak,0.35195007734000683,"11520"
292,ganak,0.03163724998012185,"720"
309,ganak,6.284791191108525,"60"
175,inc,0.255755053833127,"3600"
193,inc,0.5149210998788476,"2880"
231,inc,4.590382464230061,"36000"
243,inc,0.2262718640267849,"4896"
292,inc,1.9613965502940118,"720"
309,inc,2699.2435993682593,"60"
80,inc,0.2102146060205996,"24"
96,inc,0.1750383824110031,"480"
99,inc,0.042734282091259956,"360"
175,inc,0.24693832080811262,"3600"
193,inc,0.5039874576032162,"2880"
231,inc,4.437878842931241,"36000"
243,inc,0.21055807126685977,"4896"
292,inc,1.925154710188508,"720"
309,inc,2650.2013585870154,"60"
309,d4,0.036651473958045244,"60"
231,d4,0.46926249703392386,"36000"
231,d4,0.4698161631822586,"36000"
7,d4,0.05318054500094149,"1440"
7,d4,0.0593062089999421,"1440"
8,d4,4.398290197001188,"144000"
23,d4,0.17263943999932962,"10080"
29,d4,0.02885472799971467,"720"
31,d4,0.02681156000107876,"12"
33,d4,0.5405126080004266,"7680"
39,d4,0.19218076100150938,"5760"
42,d4,0.24251414599712007,"17280"
45,d4,0.06197175700071966,"2880"
47,d4,0.16023830400081351,"1008"
53,d4,10.169012809998094,"316800"
80,d4,0.054081324000435416,"24"
82,d4,0.07526247300120303,"288"
96,d4,0.06347049000032712,"480"
99,d4,0.02206376300091506,"360"
102,d4,0.04345571399971959,"432"
130,d4,1.4265117149989237,"34560"
137,d4,0.9713806540021324,"28800"
149,d4,3.7253949559999455,"28800"
175,d4,0.15267088000109652,"3600"
193,d4,0.5211545619968092,"2880"
231,d4,0.46828801999799907,"36000"
240,d4,0.31174335299874656,"5184"
243,d4,0.1798040179965028,"4896"
269,d4,0.3443055050011026,"1920"
284,d4,0.5887400499996147,"11520"
292,d4,0.026878695000050357,"720"
309,d4,0.036226240001269616,"60"

